CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
53.191.611/0001-20;2026-06-30;1;DC_SEED CONSTRUÇOES;;1429413
53.654.501/0001-58;2026-03-31;1;SANTORIN;60 unidades studios no projeto Condomínio Porto Paraíso localizado na Rua Coronel Oscar Porto, 629 - Paraíso - São Paulo - SP (em construção);19695594.28
53.654.501/0001-58;2026-03-31;1;STUSABIA;214 unidades studios no projeto Casa Sabiá localizado na Av. Sabiá, 598 - Moema - São Paulo - SP (em construção);57159932.85
53.654.501/0001-58;2026-06-30;1;SANTORIN;60 unidades studios no projeto Condomínio Porto Paraíso localizado na Rua Coronel Oscar Porto, 629 - Paraíso - São Paulo - SP (em construção);19695594.28
53.654.501/0001-58;2026-06-30;1;STUSABIA;214 unidades studios no projeto Casa Sabiá localizado na Av. Sabiá, 598 - Moema - São Paulo - SP (em construção);57159932.85
56.191.016/0001-83;2026-03-31;1;MAT Nº 11.285: Fazenda Boa Vista, Carangola/MG;Única possuidora e titular do Direito Real de Superfície (DRS) sobre uma área de 09,27,06 hectares, formalizada com a celebração da "Escritura Pública de Promessa de Cessão Onerosa de Direito de Superfície", celebrada em 13 de setembro de 2024, entre a PONTO DE EQUILIBRIO ENGENHARIA LTDA. e o AZ QUEST RENDA SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA. Para financiar a aquisição do imóvel, foram emitidos os certificados de recebíveis imobiliários da 315ª emissão, em classe e série únicas, emitidos pela TRUE SECURITIZADORA S.A, e com isso sendo constituído o ônus da Alienação Fiduciária de DRS com a celebração da "Escritura Pública de Alienação Fiduciária de Direito Real de Superfície em Garantia e Outras Avenças", celebrado em 13 de setembro de 2024. A Alienação Fiduciária de DRS foi dada em garantia da 315ª emissão, em classe e série únicas, emitidos pela TRUE SECURITIZADORA S.A.;29840574.78
56.191.016/0001-83;2026-03-31;1;MAT Nº 137.280: UFV Jandira, Barueri/SP;Única possuidora e titular do Direito Real de Superfície (DRS) sobre uma área de 18.062,19 m2, formalizada com a celebração da "Escritura Pública de Promessa de Cessão Onerosa de Direito de Superfície", celebrada em 15 de agosto de 2025, entre a CARANGOLA PARTICIPAÇÕES EM ENERGIA S.A. e o AZ QUEST RENDA SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA. Para financiar a aquisição do imóvel, foram emitidos os certificados de recebíveis imobiliários da 441ª emissão (antiga 315ª emissão), em classe única para duas séries, emitidos pela OPEA SECURITIZADORA S.A, e com isso sendo destituído o ônus da Alienação Fiduciária de DRS, originalmente constituída em garantia da 315ª emissão do CRI, e constituído a cessão fiduciária adicional dos créditos imobiliários UFV Jandira, com a celebração da "Ata de Assembleia Especial de Titulares dos Certificados de Recebíveis Imobiliários da 1ª série da 315ª emissão ", celebrado em 20 de agosto de 2025.;12895172.19
56.191.016/0001-83;2026-06-30;1;MAT Nº 11.285: Fazenda Boa Vista, Carangola/MG;Única possuidora e titular do Direito Real de Superfície (DRS) sobre uma área de 09,27,06 hectares, formalizada com a celebração da "Escritura Pública de Promessa de Cessão Onerosa de Direito de Superfície", celebrada em 13 de setembro de 2024, entre a PONTO DE EQUILIBRIO ENGENHARIA LTDA. e o AZ QUEST RENDA SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA. Para financiar a aquisição do imóvel, foram emitidos os certificados de recebíveis imobiliários da 315ª emissão, em classe e série únicas, emitidos pela TRUE SECURITIZADORA S.A, e com isso sendo constituído o ônus da Alienação Fiduciária de DRS com a celebração da "Escritura Pública de Alienação Fiduciária de Direito Real de Superfície em Garantia e Outras Avenças", celebrado em 13 de setembro de 2024. A Alienação Fiduciária de DRS foi dada em garantia da 315ª emissão, em classe e série únicas, emitidos pela TRUE SECURITIZADORA S.A.;29840574.78
56.191.016/0001-83;2026-06-30;1;MAT Nº 137.280: UFV Jandira, Barueri/SP;Única possuidora e titular do Direito Real de Superfície (DRS) sobre uma área de 18.062,19 m2, formalizada com a celebração da "Escritura Pública de Promessa de Cessão Onerosa de Direito de Superfície", celebrada em 15 de agosto de 2025, entre a CARANGOLA PARTICIPAÇÕES EM ENERGIA S.A. e o AZ QUEST RENDA SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA. Para financiar a aquisição do imóvel, foram emitidos os certificados de recebíveis imobiliários da 441ª emissão (antiga 315ª emissão), em classe única para duas séries, emitidos pela OPEA SECURITIZADORA S.A, e com isso sendo destituído o ônus da Alienação Fiduciária de DRS, originalmente constituída em garantia da 315ª emissão do CRI, e constituído a cessão fiduciária adicional dos créditos imobiliários UFV Jandira, com a celebração da "Ata de Assembleia Especial de Titulares dos Certificados de Recebíveis Imobiliários da 1ª série da 315ª emissão ", celebrado em 20 de agosto de 2025.;12895172.19
58.263.012/0001-99;2026-03-31;1;Fábrica - Uberlândia/MG;UBMG-180230;363000000
58.263.012/0001-99;2026-06-30;1;Fábrica - Uberlândia/MG;UBMG-180230;363000000
61.007.289/0001-65;2026-03-31;1;LIBERDADE;DIREITO DE SUPERFICIE;530763.91
61.007.289/0001-65;2026-03-31;1;MUNDO MELHOR;DIREITO DE SUPERFICIE;558936.77
