CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
14.410.722/0001-29;2026-06-30;1;Abril - 2026;0.009346;0.009346
16.685.929/0001-31;2026-03-31;1;03/2026;-0.001281;-0.001281
16.685.929/0001-31;2026-03-31;1;02/2026;-0.00097;-0.00097
16.685.929/0001-31;2026-03-31;1;01/2026;-0.001133;-0.001133
16.685.929/0001-31;2026-06-30;1;06/2026;-0.001158603;-0.001158603
16.685.929/0001-31;2026-06-30;1;05/2026;-0.001078812;-0.001078812
16.685.929/0001-31;2026-06-30;1;04/2026;-0.001078812;-0.001078812
17.311.079/0001-74;2026-03-31;1;JAN/26;-0.000663;-0.000663
17.311.079/0001-74;2026-03-31;1;FEV/26;-0.001544;-0.001544
17.311.079/0001-74;2026-03-31;1;MAR/26;-0.217052;-0.217052
17.311.079/0001-74;2026-03-31;1;DEZ/25;-0.083385;-0.083385
17.311.079/0001-74;2026-03-31;1;NOV/25;-0.000757;-0.000757
17.311.079/0001-74;2026-03-31;1;OUT/25;-0.001023;-0.0012
17.311.079/0001-74;2026-06-30;1;JUN/2026;-0.001313;0
17.311.079/0001-74;2026-06-30;1;MAI/2026;-0.00072;0
17.311.079/0001-74;2026-06-30;1;ABR/2026;-0.000959;0
17.311.079/0001-74;2026-06-30;1;MAR/2026;-0.217052;0
17.311.079/0001-74;2026-06-30;1;FEV/2026;-0.001544;0
17.311.079/0001-74;2026-06-30;1;JAN/2026;-0.000663;0
17.870.926/0001-30;2026-03-31;1;Janeiro - 2026;0.00576;0.00576
17.870.926/0001-30;2026-03-31;1;Fevereiro - 2026;-0.001444;-0.001444
17.870.926/0001-30;2026-03-31;1;Março - 2026;-0.005399;-0.005399
17.870.926/0001-30;2026-06-30;1;Junho -2026;-0.010345;-0.010345
17.870.926/0001-30;2026-06-30;1;Maio - 2026;0.0055;0.0055
17.870.926/0001-30;2026-06-30;1;Abril - 2026;-0.006768;-0.006768
18.289.950/0001-43;2026-03-31;1;Janeiro - 2026;0.008374;0.008374
18.289.950/0001-43;2026-03-31;1;Fevereiro - 2026;0.008768;0.008768
18.289.950/0001-43;2026-03-31;1;Março - 2026;0.008505;0.008505
18.289.950/0001-43;2026-06-30;1;Abril - 2026;0.009129;0.009129
18.289.950/0001-43;2026-06-30;1;Maio - 2026;0.007021;0.007021
18.289.950/0001-43;2026-06-30;1;Junho - 2026;0.008137;0.008137
20.216.935/0001-17;2026-03-31;1;Março - 2026;-0.007396;-0.007396
20.216.935/0001-17;2026-03-31;1;Fevereiro - 2026;0.007928;0.007928
20.216.935/0001-17;2026-03-31;1;Janeiro - 2026;0.0254;0.0254
20.216.935/0001-17;2026-06-30;1;Abril - 2026;0.012504;0.012504
20.216.935/0001-17;2026-06-30;1;Maio - 2026;-0.009764;-0.009764
20.216.935/0001-17;2026-06-30;1;Junho- 2026;-0.014799;-0.014799
21.500.514/0001-86;2026-03-31;1;Janeiro - 2026;0.004678;0.004678
21.500.514/0001-86;2026-03-31;1;Fevereiro - 2026;-0.003637;-0.003637
21.500.514/0001-86;2026-03-31;1;Março - 2026;0.004753;0.004753
21.500.514/0001-86;2026-06-30;1;Junho - 2026;0.007079;0.007079
21.500.514/0001-86;2026-06-30;1;Maio - 2026;0.005037;0.005037
21.500.514/0001-86;2026-06-30;1;Abril - 2026;-0.000135;-0.000135
23.740.527/0001-58;2026-03-31;1;Janeiro - 2026;0.009062;0.009062
23.740.527/0001-58;2026-03-31;1;Fevereiro - 2026;0.008837;0.008837
23.740.527/0001-58;2026-03-31;1;Março - 2026;0.008949;0.008949
23.740.527/0001-58;2026-06-30;1;Abril- 2026;0.008948;0.008948
23.740.527/0001-58;2026-06-30;1;Maio - 2026;0.00886;0.00886
23.740.527/0001-58;2026-06-30;1;Junho - 2026;0.008806;0.008806
23.740.595/0001-17;2026-03-31;1;Março - 2026;-0.002879;-0.002879
23.740.595/0001-17;2026-03-31;1;Fevereiro - 2026;0.018347;0.018347
23.740.595/0001-17;2026-03-31;1;Janeiro - 2026;-0.00076;-0.00076
23.740.595/0001-17;2026-06-30;1;Abril - 2026;0.006003;0.006003
23.740.595/0001-17;2026-06-30;1;Maio - 2026;0.000665;0.000665
23.740.595/0001-17;2026-06-30;1;Junho - 2026;0.046609;0.046609
28.737.771/0001-85;2026-03-31;2;01/2026;0.006649;0.00664969655283
28.737.771/0001-85;2026-03-31;2;02/2026;0.009031;0.00903081169461
28.737.771/0001-85;2026-03-31;2;03/2026;0.001409;0.00140957856045
28.737.771/0001-85;2026-06-30;2;06/2026;0.009967;0.00940752884746
28.737.771/0001-85;2026-06-30;2;05/2026;0.019931;0.01993081707349
28.737.771/0001-85;2026-06-30;2;04/2026;0.002747;0.00274664993981
28.893.734/0001-66;2026-03-31;1;Janeiro - 2026;-0.100252;-0.100252
28.893.734/0001-66;2026-03-31;1;Fevereiro - 2026;0.250601;0.250601
28.893.734/0001-66;2026-03-31;1;Março - 2026;-0.082419;-0.082419
28.893.734/0001-66;2026-06-30;1;Abril - 2026;-0.111155;-0.111155
28.893.734/0001-66;2026-06-30;1;Maio - 2026;0;0
28.893.734/0001-66;2026-06-30;1;Junho -2026;0;0
32.287.811/0001-01;2026-03-31;1;03/2026;-0.000375;-0.0004
32.287.811/0001-01;2026-03-31;1;02/2026;-0.000307;-0.000307
32.287.811/0001-01;2026-03-31;1;01/2026;-0.000358;-0.000358
32.287.811/0001-01;2026-06-30;1;04/2026;-0.000341215;-0.000341215
32.287.811/0001-01;2026-06-30;1;05/2026;-0.000341215;-0.000341215
32.287.811/0001-01;2026-06-30;1;06/2026;-0.000358273;-0.000358273
34.691.925/0001-48;2026-03-31;1;Março - 2026;-0.001705;-0.001705
34.691.925/0001-48;2026-03-31;1;Fevereiro - 2026;-0.008984;-0.008984
34.691.925/0001-48;2026-03-31;1;Janeiro - 2026;0.035352;0.035352
34.691.925/0001-48;2026-06-30;1;Junho - 2026;0.003259;0.003259
34.691.925/0001-48;2026-06-30;1;Maio - 2026;-0.001019;-0.001019
34.691.925/0001-48;2026-06-30;1;Abril- 2026;-0.001406;-0.001406
35.652.102/0001-76;2026-03-31;1;01/2026;0.006024;0.00599113904668
35.652.102/0001-76;2026-03-31;1;02/2026;0.003013;0.00300541730034
35.652.102/0001-76;2026-03-31;1;03/2026;0.00312;0.003086501177
35.652.102/0001-76;2026-06-30;1;04/2026;0.003827;0.00381044934783
35.652.102/0001-76;2026-06-30;1;05/2026;0.003317;0.00331769190365
35.652.102/0001-76;2026-06-30;1;06/2026;-0.031872;-0.03187250502565
35.652.278/0001-28;2026-03-31;1;01/2026;0.007259;0.00705995439626
35.652.278/0001-28;2026-03-31;1;02/2026;0.007149;0.00695085594256
35.652.278/0001-28;2026-03-31;1;03/2026;0.007137;0.00693817836218
35.652.278/0001-28;2026-06-30;1;04/2026;0.007392;0.007193692832
35.652.278/0001-28;2026-06-30;1;05/2026;0.00728;0.00708174488448
35.652.278/0001-28;2026-06-30;1;06/2026;0.03675;0.03675057410717
38.376.805/0001-07;2026-03-31;1;Janeiro - 2026;0.008044;0.008044
38.376.805/0001-07;2026-03-31;1;Fevereiro - 2026;0.006414;0.006414
38.376.805/0001-07;2026-03-31;1;Março - 2026;0.008693;0.008693
38.376.805/0001-07;2026-06-30;1;Abril - 2026;0.007148;0.007148
38.376.805/0001-07;2026-06-30;1;Maio - 2026;-0.002705;-0.002705
38.376.805/0001-07;2026-06-30;1;Junho - 2026;0.007611;0.007611
43.010.601/0001-98;2026-06-30;1;06/2026;0.140502;0.1405015482175
43.010.601/0001-98;2026-06-30;1;05/2026;-0.1575;-0.15041612846787
43.010.601/0001-98;2026-06-30;1;04/2026;-0.002193;-0.00219327349577
43.010.844/0001-26;2026-03-31;1;01/2026;0.02401;0.0237773722112
43.010.844/0001-26;2026-03-31;1;02/2026;0.005769;0.00562963591165
43.010.844/0001-26;2026-03-31;1;03/2026;0.007046;0.00703962910036
43.010.844/0001-26;2026-06-30;1;06/2026;0.005617;0.00561650851034
43.010.844/0001-26;2026-06-30;1;05/2026;0.014039;0.00961194366308
43.010.844/0001-26;2026-06-30;1;04/2026;0.000483;0.00048228088237
43.617.647/0001-70;2026-03-31;1;MAR/26;0.000199;0.000199
43.617.647/0001-70;2026-03-31;1;FEV/26;-0.000284;-0.000284
43.617.647/0001-70;2026-03-31;1;JAN/26;0.000814;0.000814
43.617.647/0001-70;2026-03-31;1;DEZ/25;-0.000278;-0.000278
43.617.647/0001-70;2026-03-31;1;NOV/25;-0.001225;-0.001225
43.617.647/0001-70;2026-03-31;1;OUT/25;-0.000275;-0.000275
43.617.647/0001-70;2026-06-30;1;JUN/2026;-0.018577;0
43.617.647/0001-70;2026-06-30;1;MAI/2026;-2.6E-05;0
43.617.647/0001-70;2026-06-30;1;ABR/2026;-5.6E-05;0
43.617.647/0001-70;2026-06-30;1;MAR/2026;0.000199;0
43.617.647/0001-70;2026-06-30;1;FEV/2026;-0.000284;0
43.617.647/0001-70;2026-06-30;1;JAN/2026;0.000814;0
44.728.323/0001-71;2026-06-30;1;06/2026;0.0588;0.0588
47.154.849/0001-83;2026-03-31;1;Março - 2026;0.005237;0.005237
47.154.849/0001-83;2026-03-31;1;Fevereiro - 2026;0.004255;0.004255
47.154.849/0001-83;2026-03-31;1;Janeiro - 2026;0.003525;0.003525
47.154.849/0001-83;2026-06-30;1;Junho - 2026;-0.001247;-0.001247
47.154.849/0001-83;2026-06-30;1;Maio - 2026;0.006378;0.006378
47.154.849/0001-83;2026-06-30;1;Abril - 2026;0.000178;0.000178
49.184.940/0001-77;2026-03-31;1;03/2026;0.001233;-0.00421000552852
49.184.940/0001-77;2026-06-30;1;06/2026;0.003005;0.00274329814736
49.184.940/0001-77;2026-06-30;1;05/2026;0.010369;0.00739172449423
49.184.940/0001-77;2026-06-30;1;04/2026;-0.022222;-0.02517950999782
50.479.122/0001-80;2026-03-31;1;03/2026;0.005938;0.00496209604528
50.479.122/0001-80;2026-03-31;1;02/2026;-0.004943;-0.00503988361122
50.479.122/0001-80;2026-03-31;1;01/2026;0.017588;0.01595256637317
50.479.122/0001-80;2026-06-30;1;04/2026;0.010514;0.00676611529578
50.479.122/0001-80;2026-06-30;1;05/2026;0.001073;0.00067400313181
50.479.122/0001-80;2026-06-30;1;06/2026;0.001973;0.00052238344183
51.802.350/0001-02;2026-03-31;1;01/2026;0.021819;0.0213407252359
51.802.350/0001-02;2026-03-31;1;02/2026;0.021895;0.02142080605964
51.802.350/0001-02;2026-06-30;1;04/2026;0.013635;0.01316543243213
51.802.350/0001-02;2026-06-30;1;05/2026;0.013395;0.01292755527968
51.802.350/0001-02;2026-06-30;1;06/2026;0.025327;0.02518238701783
52.219.978/0001-42;2026-03-31;2;Março/26;0.00615172645598607;0.00536858241968696
52.219.978/0001-42;2026-03-31;2;Fevereiro/26;0.00559487090221676;0.00559487090221676
52.219.978/0001-42;2026-03-31;2;Janeiro/26;0.0060813029680643;0.00422073937432677
52.219.978/0001-42;2026-06-30;1;abril/26;0.00602221606098155;0.00602221606098155
52.219.978/0001-42;2026-06-30;1;maio/26;0.00552139773932671;0.00503164117065837
52.219.978/0001-42;2026-06-30;1;junho/26;0.00597900929563465;0.00597900929563465
56.805.391/0001-76;2026-03-31;2;01/2026;0.018515;0.01851488361904
56.805.391/0001-76;2026-03-31;2;02/2026;0.004011;0.00401147800578
56.805.391/0001-76;2026-03-31;2;03/2026;0.005437;0.00543663945119
56.805.391/0001-76;2026-06-30;1;06/2026;0.031362;0.03136188356654
56.805.391/0001-76;2026-06-30;1;05/2026;0.003189;0.00318900008121
56.805.391/0001-76;2026-06-30;1;04/2026;0.009238;0.00923736049106
59.658.166/0001-42;2026-03-31;1;03/2026;0.004642;0.00063037715057
59.658.166/0001-42;2026-03-31;1;02/2026;0.00471;0.00070035547941
59.658.166/0001-42;2026-03-31;1;01/2026;-0.072305;-0.07615858253486
59.658.166/0001-42;2026-06-30;1;06/2026;-0.280051;-0.284045999056
59.658.166/0001-42;2026-06-30;1;05/2026;0.017348;0.00957184203479
59.658.166/0001-42;2026-06-30;1;04/2026;0.003462;-0.00055109939572
59.678.586/0001-90;2026-03-31;1;03/2026;-0.0018;-0.0018
59.678.586/0001-90;2026-03-31;1;02/2026;-0.0015;-0.0015
59.678.586/0001-90;2026-03-31;1;01/2026;-0.0013;-0.0013
59.678.586/0001-90;2026-06-30;1;03/2026;-0.0018;-0.0018
59.678.586/0001-90;2026-06-30;1;02/2026;-0.0015;-0.0015
59.678.586/0001-90;2026-06-30;1;01/2026;-0.0013;-0.0013
60.922.008/0001-37;2026-03-31;1;03/2026;0.007487;0.00744396159999
60.922.008/0001-37;2026-03-31;1;02/2026;0.012924;0.01287892229185
60.922.008/0001-37;2026-03-31;1;01/2026;-0.174688;-0.17493314395102
60.922.008/0001-37;2026-06-30;1;04/2026;-0.00422;-0.00422032580955
60.922.008/0001-37;2026-06-30;1;05/2026;0.191174;0.14328081662543
60.922.008/0001-37;2026-06-30;1;06/2026;-0.114611;-0.11461126930625
61.112.477/0001-53;2026-03-31;1;Março - 2026;-0.000878;-0.000878
61.112.477/0001-53;2026-03-31;1;Fevereiro - 2026;0.000537;0.000537
61.112.477/0001-53;2026-03-31;1;Janeiro - 2026;-0.017263;-0.017263
61.112.477/0001-53;2026-06-30;1;Junho - 2026;-0.003242;-0.003242
61.112.477/0001-53;2026-06-30;1;Maio - 2026;0.000574;0.000574
61.112.477/0001-53;2026-06-30;1;Abril - 2026;-0.001339;-0.001339
61.455.116/0001-00;2026-06-30;1;Junho - 2026;0.003405;0.003405
61.455.116/0001-00;2026-06-30;1;Maio - 2026;0.000277;0.000277
61.455.116/0001-00;2026-06-30;1;Abril - 2026;0;0
62.173.916/0001-09;2026-03-31;1;01/2026;0.013505;0.00894197727979
62.173.916/0001-09;2026-03-31;1;02/2026;0.013283;0.00878801131195
62.173.916/0001-09;2026-03-31;1;03/2026;0.013292;0.00885356025803
62.173.916/0001-09;2026-06-30;1;06/2026;0.011193;0.0067608366591
62.173.916/0001-09;2026-06-30;1;05/2026;0.013145;0.00874184069895
62.173.916/0001-09;2026-06-30;1;04/2026;0.013163;0.00877927611571
62.452.316/0001-71;2026-03-31;1;Março - 2026;0.017508;0.017508
62.452.316/0001-71;2026-03-31;1;Fevereiro - 2026;0.011543;0.011543
62.452.316/0001-71;2026-03-31;1;Janeiro - 2026;0.011898;0.011898
62.452.316/0001-71;2026-06-30;1;Abril - 2026;0.015882;0.015882
62.452.316/0001-71;2026-06-30;1;Maio - 2026;0.014192;0.014192
62.452.316/0001-71;2026-06-30;1;Junho -2026;0.008239;0.008239
62.754.323/0001-28;2026-03-31;1;Julho;-0.050081;
62.754.323/0001-28;2026-03-31;1;Novembro;34.388189;
62.754.323/0001-28;2026-03-31;1;Dezembro;-0.001701;
62.754.323/0001-28;2026-06-30;1;Abril;-0.001802;
62.754.323/0001-28;2026-06-30;1;Maio;0.015071;
62.754.323/0001-28;2026-06-30;1;Junho;-0.005405;
62.855.536/0001-46;2026-03-31;1;03/2026;0.013492;0.0089323165952
62.855.536/0001-46;2026-03-31;1;02/2026;0.013342;0.00895812563936
62.855.536/0001-46;2026-03-31;1;01/2026;0.013764;0.0092187587628
62.855.536/0001-46;2026-06-30;1;04/2026;0.013447;0.00888303296897
62.855.536/0001-46;2026-06-30;1;05/2026;0.013382;0.00883875203874
62.855.536/0001-46;2026-06-30;1;06/2026;0.012005;0.0074581145569
63.009.499/0001-18;2026-03-31;1;Março - 2026;0.004708;0.004708
63.009.499/0001-18;2026-03-31;1;Fevereiro - 2026;0.002106;0.002106
63.009.499/0001-18;2026-03-31;1;Janeiro - 2026;0.003144;0.003144
63.009.499/0001-18;2026-06-30;1;Junho - 2026;0.007162;0.007162
63.009.499/0001-18;2026-06-30;1;Maio - 2026;0.015596;0.015596
63.009.499/0001-18;2026-06-30;1;Abril - 2026;0.006051;0.006051
63.420.458/0001-10;2026-03-31;1;Março - 2026;-0.012367;-0.012367
63.420.458/0001-10;2026-03-31;1;Fevereiro - 2026;0.004415;0.004415
63.420.458/0001-10;2026-03-31;1;Janeiro - 2026;0.025205;0.025205
63.420.458/0001-10;2026-06-30;1;Abril - 2026;0.018599;0.018599
63.420.458/0001-10;2026-06-30;1;Maio - 2026;-0.031781;-0.031781
63.420.458/0001-10;2026-06-30;1;Junho - 2026;-0.022482;-0.022482
63.700.460/0001-42;2026-06-30;1;06/2026;0.002067;0.00206747909416
63.700.460/0001-42;2026-06-30;1;05/2026;0.007836;0.0078359012324
63.700.460/0001-42;2026-06-30;1;04/2026;0.008459;0.00845922918325
