CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107965;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_33173;ESTRADA DO PERNAMBUCO, Nº 568,  ENSEADA;0;1;33173;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107984;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_9171;AV. MARIA NUNES CORREA BAIRRO ELISEOS LOTE 02,03,04,05,06,07,08,09,10,11,12 19,20,21,22 E 23 (13 IPTUs);0;1;9171;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;91261_44669;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_13551;AV. NORDESTINA, Nº 359 - LOTE 35C E 49C;0;1;13551;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_307;AV. TABOÃO , Nº 3.900 JARDIM ABC;0;1;307;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_45363;AV. DOS AUTONOMISTAS, N 2400-2394;0;1;45363;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_76306;AV ANHAIA MELO - RUA SERROLÂNDIA  , LOTE 1 - 2 - 3 - 29;0;1;76306;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_134583;EST. ANTIGA DO MAR, Nº 5172 - LOTE 2 - 3 - 4;0;1;134583;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;PAULIN_10275;Gleba 1-B Sítio de Paulínia, S/N - Bonfim - Paulinea-SP 13140-000;21361.75;1;Matrícula 10.275;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;S CANE_20935;Avenida Progresso, S/N - Setor Comercial - Senador Canedo - 75250-000;3126.31;1;Matricula 20935;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108028;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
