CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
44.584.965/0001-44;2026-03-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;Aracília matricula 58.931;0;0.2508;0
44.584.965/0001-44;2026-03-31;1;Cidade Aracília, do Distrito, Município, Comarca e 1ª Circunscrição Imobiliária de Guarulhos, Estado de São Paulo;Aracília matricula 101.52;0;0.2508;0
44.585.121/0001-18;2026-03-31;1;RUA DOMINGOS ZANIN Nº 0 TAMOIO (JD) ARARAQUARA SP CEP 14800-250;FAMA;9259.26;1;0
47.669.336/0001-05;2026-03-31;1;FAZENDA BARRA DO RIBEIRO;MATRICULA 4837;2666.66;0.5;0
47.669.336/0001-05;2026-03-31;1;60.375 ALPHAVILE PR;MATRICULA 60.375;754.85;0.5;0
50.957.247/0001-79;2026-03-31;1;Linha Verde - Av. Santa Bernadethe - Fanny, Curitiba - PR, 81650-200;Matrículas: 55.467 / 55.468 / 55.469 / 55.470 / 55.471 / 55.472 / 55.710 / 55.711 /55.712 / 56.677 / 56.678 / 56.679 / 56.680 / 56.681 / 56.682;10637.25;0;0
50.957.247/0001-79;2026-03-31;1;Estrada José Kalinoski - Contorno, Ponta Grossa - PR, 84060-160, lote 12/R2-1.;Matrícula: 80.552;14783.47;0;0
50.957.247/0001-79;2026-03-31;1;RUA BARBOSA;MATRICULA 26865;26865;0;0
50.957.247/0001-79;2026-03-31;1;PREFEITO ALBARY;MAT. 70.857;51154.33;0;0
50.957.247/0001-79;2026-03-31;1;RODOVIA DOS MINERIOS;MAT. 3723 E 3724;44930;0;0
50.957.247/0001-79;2026-03-31;1;UMBARÁ TERRENO;MAT. 123.587 E 123.588;12218.8;0;0
51.303.221/0001-70;2026-03-31;1;Rodovia Estadual MT-240, Zona Rural, Água Boa/MT, CEP: 78635-000;matrícula do RGI 7.060 do Ofício de Água Boa MT  - AGUA BOA;1120.4;0.42;0
51.303.221/0001-70;2026-03-31;1;Av. Gisele, s/n, Lote 52 - Aleixo, Distrito II, Manaus/AM, CEP: 69075-793;matrícula do RGI 47.322 do 4º Ofício de Manaus/AM - MANAUS;5850;0.1858;0
51.303.221/0001-70;2026-03-31;1;R. Green 05, S/N Lote 08, Quadra 06  - Green Park Condomínio Residencial, Rio Verde/GO, CEP: 75909-620;matrícula do RGI 80.249 do Ofício de Rio Verde/GO - RIO VERDE;482.7;0.1481;0
51.889.479/0001-08;2026-03-31;1;CANOAS Bittencourt - mat. 90.923;Rua Roberto Francisco Behrens;4632.113;0.0127;0.0133
51.889.479/0001-08;2026-03-31;1;SÃO BORJA- mat. 30.094;Avenida Presidente Goulart;30000;0.0382;0.0382
51.889.479/0001-08;2026-03-31;1;VIAMÃO mat. 40.176;Km 19, Estrada de Rodagem Porto Alegre - Viamão;13788.6;0.0892;0.0936
51.889.479/0001-08;2026-03-31;1;VIAMÃO mat. 81.006;Km 19, Estrada de Rodagem Porto Alegre - Viamão;6740.13;0.0358;0.0376
51.889.479/0001-08;2026-03-31;1;CRUZ ALTA - mat. 51.078;Av. Saturnino de Brito, 601 - São Francisco - Cruz Alta/RS;7008.48;0.12;0.1261
51.889.479/0001-08;2026-03-31;1;LAGES - mat. 36.632;Rua Hirto Luiz Melegari, 465 - Sagrado Coração de Jesus, Lages/SC;9310.7;0.1236;0.1298
51.889.479/0001-08;2026-03-31;1;SANTA MARIA - mat.107.647;Avenida Maestro Roberto Barbosa Ribas, Bairro Juscelino Kubitschek - Santa Maria;29713.42;0.0918;0.0964
51.889.479/0001-08;2026-03-31;1;SÃO GABRIEL - Mat.4.42;Av. Francisco Chagas, 1540 - São Gabriel - RS;16348;0.0177;0.0185
51.889.479/0001-08;2026-03-31;1;IMOVEL -PELOTAS;terreno Pelotas - MAT 73.756;17500;0.1236;0.1298
51.889.479/0001-08;2026-03-31;1;Terreno São Borges;Terreno São Borges;3000;0.0212;0.0222
51.889.479/0001-08;2026-03-31;1;Terreno Bunge;Terreno Bunge;2500;0.0177;0.0185
51.889.479/0001-08;2026-03-31;1;Terreno TRAMANDAI;Terreno TRAMANDAI;6100;0.0431;0.0452
51.889.479/0001-08;2026-03-31;1;Terreno Nova Hamburgo;Imovel urgabo -Matrícula 52.917;22210.19;0.0978;0.0978
52.356.865/0001-99;2026-03-31;1;Av. Do Estado Dalmo Vieira - Pioneiros, Balneário Camboríu/ SC.;MATRICULA 23501;1988.91;0.5969;0
54.419.040/0001-00;2026-03-31;1;BENTO ABREU;Avenida Bento de Abreu, 1.115, Jardim Primavera, Araraquara - SP, CEP 14.802-396;0;0.1009;0
59.139.645/0001-52;2026-03-31;1;Rua Apôlonio Pereira Martins, 139, Casa Amarela, Betim - MG.;Parque Fabril - Betim (matrícula 91.936 e 106.956);21324;1;0
60.522.814/0001-18;2026-03-31;1;Lote nº 290-B/A - Gleba Keller, Mandaguari/PR;N/A;16478.54;1;0
62.385.601/0001-17;2026-03-31;1;SANTOS DUMONT;Rua Santos Dumont, nº 684, Bairro Santa Terezinha;1965.76;0.0182;0
62.385.601/0001-17;2026-03-31;1;EMBRAST;Cidade de Itajaí, rua Edmundo Leopoldo Merízio, Limoeiro, nº 320, Matrícula nº 80.970;40792.49;0.6538;0
62.385.601/0001-17;2026-03-31;1;GUSTAVO_SCHLOSSER;situado no lado ímpar da Rua Gustavo Schlosser, esquina com a Rua Prefeito Germano Schaefer, nº 175, Centro II, Brusque/SC;3085.02;0.0652;0
62.385.601/0001-17;2026-03-31;1;JVARGAS SUPERMERCADO;Cidade de São José, na rua Vereador Arthur Manoel Mariano, nº 1175, bairro Forquilhinha, objeto da matrícula nº 33.732;3728.26;0.0856;0
62.385.601/0001-17;2026-03-31;1;PAES LEME;Cidade de Brusque, na Rua Paes Leme, nº 11, Centro I, objeto da matrícula nº 42.297;625.59;0.0282;0
63.168.672/0001-20;2026-03-31;1;Rua Albertina Moreira Rocha, n° 321;Quadra Q, Lote 08-U Jardim Residencial Helvetia Park I;49823.226;1;0.9
