CNPJ_Fundo_Classe;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
01.235.622/0001-61;2024-03-28;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;1296;1199715.03
01.235.622/0001-61;2024-03-28;1;FII;FII DOVEL - DOVL11B;10522648000181;;;;;;4775;3892815.86
01.235.622/0001-61;2024-03-28;1;CRI/CRA;RB CAPITAL SA - CRI_18L1368412;2773542000122;1;200;;;;429;41778687.12
01.235.622/0001-61;2024-03-28;1;CRI/CRA;RB CAPITAL SA - CRI_18L1368427;2773542000122;1;201;;;;36;3185029.84
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;533;529945.99
01.235.622/0001-61;2024-06-30;1;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;241389.13
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;36;3185029.84
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2934;2917188.62
01.235.622/0001-61;2024-06-30;1;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;19368443.88;79836353.44
01.235.622/0001-61;2024-06-30;1;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;116040;148457911.47
01.235.622/0001-61;2024-06-30;1;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;15066.05;25478954.05
01.235.622/0001-61;2024-06-30;1;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1431923.63
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;593;589602.2
01.235.622/0001-61;2024-06-30;1;FII;FII DOVEL - DOVL11B;10522648000181;;;;;;4761;3827310.46
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2189;2176457.36
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC- CRI_18L1368427_CCI;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2024-06-30;1;Outras Cotas de FI;FICFI ITAU SOBERANO RENDA FIXA SIMPLES LP;6175696000173;;;;;;229200.64;15577033.9
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;1296;1288574.11
01.235.622/0001-61;2024-06-30;1;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.03
01.235.622/0001-61;2024-06-30;1;FII;BRIX FII- MEZANINO;35360651000177;;;;;;75215.74;89096526.18
01.235.622/0001-61;2024-06-30;1;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;121512186.54
01.235.622/0001-61;2024-06-30;1;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;12075;1559795.57
01.235.622/0001-61;2024-06-30;1;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;63183174;10413106.86
01.235.622/0001-61;2024-06-30;1;Outras Cotas de FI;FIC DE FI CAIXA GIRO MPE RF REF DI LP;10551370000170;;;;;;61968.04;140952.51
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;34;3008083.74
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;461;44789082.77
01.235.622/0001-61;2024-06-30;1;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;76128872.08
01.235.622/0001-61;2024-06-30;1;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;45818.21;130293.08
01.235.622/0001-61;2024-06-30;1;FII;BRIX FII;35360651000177;;;;;;10141.83;10141.84
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;429;41680079.19
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;150;149140.52
01.235.622/0001-61;2024-06-30;1;FII;FII DOVEL;10522648000181;;;;;;51145;41114854.44
01.235.622/0001-61;2024-06-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;833;828227.03
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2189;2345028.57
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;36;2930769.31
01.235.622/0001-61;2024-09-30;1;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;93316.28;278101.27
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;533;570991.42
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;833;892374.96
01.235.622/0001-61;2024-09-30;1;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1431923.63
01.235.622/0001-61;2024-09-30;1;FII;BRIX FII;35360651000177;;;;;;10141.83;10141.84
01.235.622/0001-61;2024-09-30;1;Outras Cotas de FI;FICFI ITAU SOBERANO RENDA FIXA SIMPLES LP;6175696000173;;;;;;656419.67;45761772.59
01.235.622/0001-61;2024-09-30;1;FII;FII DOVEL;10522648000181;;;;;;51145;41141841.92
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2216;2373953.09
01.235.622/0001-61;2024-09-30;1;Outras Cotas de FI;CAIXA FACIL RENDA FIXA SIMPLES FIC FI;5114716000133;;;;;;0;0.03
01.235.622/0001-61;2024-09-30;1;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;241389.13
01.235.622/0001-61;2024-09-30;1;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;76128872.08
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;429;41576901.66
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;34;2767948.79
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;461;44678209.01
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2934;3143131.03
01.235.622/0001-61;2024-09-30;1;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;63183174;10413106.86
01.235.622/0001-61;2024-09-30;1;Outras Cotas de FI;FIC DE FI CAIXA GIRO MPE RF REF DI LP;10551370000170;;;;;;886888.86;2063395.73
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;150;160691.77
01.235.622/0001-61;2024-09-30;1;FII;FII DOVEL - DOVL11B;10522648000181;;;;;;4761;3831988.11
01.235.622/0001-61;2024-09-30;1;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;12075;2819006.54
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2124;2275395.47
01.235.622/0001-61;2024-09-30;1;FII;BRIX FII- MEZANINO;35360651000177;;;;;;75215.74;89753363.34
01.235.622/0001-61;2024-09-30;1;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;116040;152364768.8
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC- CRI_18L1368427_CCI;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;1296;1388376.89
01.235.622/0001-61;2024-09-30;1;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;15066.05;26386133.47
01.235.622/0001-61;2024-09-30;1;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;121512186.54
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;593;635268.13
01.235.622/0001-61;2024-09-30;1;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;4482714.84;18856142.57
01.235.622/0001-61;2024-09-30;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;129;138194.92
01.235.622/0001-61;2024-12-31;1;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;116040;147326235.82
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;129;148605.74
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2124;2446810.85
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;150;172797.37
01.235.622/0001-61;2024-12-31;1;Outras Cotas de FI;CAIXA FIC PLENO RF REF DI LP;10740508000180;;;;;;94852.15;283488.06
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC- CRI_18L1368427_CCI;2773542000122;1;201;;;;1;136304173.55
01.235.622/0001-61;2024-12-31;1;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;121367655.05
01.235.622/0001-61;2024-12-31;1;Outras Cotas de FI;OPPORTUNITY LEBLON FI RF REFERENCIADO DI;10309574000108;;;;;;30204190.8958;131026086.2
01.235.622/0001-61;2024-12-31;1;FII;FII DOVEL;10522648000181;;;;;;51145;33421876.97
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;36;2538723.93
01.235.622/0001-61;2024-12-31;1;Outras Cotas de FI;FICFI ITAU SOBERANO RENDA FIXA SIMPLES LP;6175696000173;;;;;;274471.3244;19641654.2
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_18L1368427;2773542000122;1;201;;;;34;2397683.71
01.235.622/0001-61;2024-12-31;1;FII;FII DOVEL - DOVL11B;10522648000181;;;;;;4761;3112626.13
01.235.622/0001-61;2024-12-31;1;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1482836.39
01.235.622/0001-61;2024-12-31;1;Outras Cotas de FI;FI RF BRL REFERENCIADO DI LP;43690520000186;;;;;;540.1612;1634214.04
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2216;2552793.24
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;429;41499457.55
01.235.622/0001-61;2024-12-31;1;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;72559318.76
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;593;683125.63
01.235.622/0001-61;2024-12-31;1;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;236597.92
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2934;3379916.69
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;725;835187.32
01.235.622/0001-61;2024-12-31;1;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;15066.05;27324730.38
01.235.622/0001-61;2024-12-31;1;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;12075;4479624.16
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;533;614006.67
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;852;981489.1
01.235.622/0001-61;2024-12-31;1;Outras Cotas de FI;FIC DE FI CAIXA GIRO MPE RF REF DI LP;10551370000170;;;;;;426.2035;1014.18
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;929;1070191.75
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;1296;1492969.33
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;2189;2521689.72
01.235.622/0001-61;2024-12-31;1;FII;BRIX FII- MEZANINO;35360651000177;;;;;;75215.74;87963045.79
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_23L1952070;2773542000122;201;1;;;;833;959601.43
01.235.622/0001-61;2024-12-31;1;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;63183174;11686069.67
01.235.622/0001-61;2024-12-31;1;FII;BRIX FII;35360651000177;;;;;;10141.83;10141.84
01.235.622/0001-61;2024-12-31;1;CRI/CRA;OPEA SEC - CRI_18L1368412;2773542000122;1;200;;;;461;44594988.18
01.497.954/0001-14;2024-03-31;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;967.71;1501.54
01.497.954/0001-14;2024-06-30;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;967.71;125516.48
01.497.954/0001-14;2024-09-30;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;967.71;1957.38
01.497.954/0001-14;2024-12-31;1;Outras Cotas de FI;Bradesco FICFI RF Referenciado DI Special;60906179000172;;;;;;967.71;24667.38
01.601.918/0001-59;2024-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;9472.85;628240.93
01.601.918/0001-59;2024-03-31;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;50822;5089315.08
01.601.918/0001-59;2024-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;8329.23;566268.51
01.601.918/0001-59;2024-06-30;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;50822;5079658.9
01.601.918/0001-59;2024-09-30;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;50822;4742709.04
01.601.918/0001-59;2024-09-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;4591.79;320352.36
01.601.918/0001-59;2024-12-31;1;FII;Fundo SDI Rio Bravo Renda Logística;16.671.412/0001-93;;;;;;50822;3529079.68
01.601.918/0001-59;2024-12-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES;6175696000173;;;;;;195302.14;13983287.1
01.633.741/0001-72;2024-03-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;64;924297.33
01.633.741/0001-72;2024-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;60;888795.83
01.633.741/0001-72;2024-06-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2029;;12;178634.52
01.633.741/0001-72;2024-09-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2029;;17;259266.78
01.633.741/0001-72;2024-09-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;15;230112.6
01.633.741/0001-72;2024-09-30;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;37;561217.23
01.633.741/0001-72;2024-12-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2028;;12;187944.84
01.633.741/0001-72;2024-12-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2029;;50;779037.87
01.633.741/0001-72;2024-12-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2027;;5;78580.44
01.633.741/0001-72;2024-12-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 09/2029;;11;171339.94
01.633.741/0001-72;2024-12-31;1;Outros Ativos Financeiros;TESOURO NACIONAL;;;;;LFT VENC 03/2026;;9;141861.13
01.636.325/0001-28;2024-03-31;1;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.636.325/0001-28;2024-06-30;2;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.636.325/0001-28;2024-09-30;1;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.636.325/0001-28;2024-12-31;1;Outros Ativos Financeiros;Aplicação Itaú Corpus Plus DI;60701190000104;;;;Aplicação Automática;;2700.6;10424672.82
01.657.856/0001-05;2024-03-31;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;10551370000170;;;;;;20941.534043;46618.35
01.657.856/0001-05;2024-03-31;1;Outras Cotas de FI;TRUST ITAU - DI;360305000104;;;;;;1018.9443;368757.3
01.657.856/0001-05;2024-06-30;1;Outras Cotas de FI;TRUST ITAU - DI;360305000104;;;;;;819.3777;304539.08
01.657.856/0001-05;2024-06-30;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;10551370000170;;;;;;17182.992141;39084.43
01.657.856/0001-05;2024-09-30;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;10551370000170;;;;;;17182.992141;39977.18
01.657.856/0001-05;2024-09-30;1;Outros Ativos Financeiros;TRUST ITAU - DI;360305000104;;;;CDB;;547.67;209250.93
01.657.856/0001-05;2024-12-31;1;Outras Cotas de FI;CAIXA FIC GIRO EMPRESARIAL RF DLL;10551370000170;;;;;;17072.024715;40635.98
01.657.856/0001-05;2024-12-31;1;Outros Ativos Financeiros;TRUST ITAU - DI;360305000104;;;;CDB;;383.09608;150156
02.027.437/0001-44;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FI;6175696000173;;;;;;243.84;16171.88
02.027.437/0001-44;2024-06-30;3;Outras Cotas de FI;Itaú Soberano RF Simples LP FI;6175696000173;;;;;;12102.7868;822816.63
02.027.437/0001-44;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FI;6175696000173;;;;;;8272.54641;577144.69
02.508.235/0001-14;2024-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;33724.97;2236646.04
02.508.235/0001-14;2024-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;31313.888666;2128897.26
02.508.235/0001-14;2024-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;31838.65421;2221264.17
02.508.235/0001-14;2024-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;13502.96384;966788.28
03.251.720/0001-18;2024-03-31;1;Outras Cotas de FI;BTG PACTUAL TESOURO SELIC FUNDO DE INVESTIMENTO RF REF;09215250000113;;;;;;137705.69;575890.24
03.251.720/0001-18;2024-03-31;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;9988.33;661745.75
03.251.720/0001-18;2024-03-31;1;Outras Cotas de FI;V8 Cash FIC FI Renda Fixa;30509221/0001-50;;;;;;156595;231119.92
03.251.720/0001-18;2024-03-31;1;Outros Ativos Financeiros;BACEN-BANCO CENTRAL DO BRASIL - RJ;00038166001098;;;;LFT;;748;10875270.51
03.251.720/0001-18;2024-06-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;20142.34;1367577.48
03.251.720/0001-18;2024-06-30;1;Outros Ativos Financeiros;BACEN-BANCO CENTRAL DO BRASIL - RJ;00038166001098;;;;LFT;;698;10404602.03
03.251.720/0001-18;2024-06-30;1;Outras Cotas de FI;BTG PACTUAL TESOURO SELIC;09215250000113;;;;;;136895.8;587038.28
03.251.720/0001-18;2024-06-30;1;Outras Cotas de FI;V8 CASH FUNDO DE INVESTIMENTO RENDA FIXA CREDITO P;30509221/0001-50;;;;;;159064.07;238602.93
03.251.720/0001-18;2024-09-30;1;Outras Cotas de FI;ITAU TOP RF REFERENCIADO DI FICFI;05902521000158;;;;;;19137.11;135215.68
03.251.720/0001-18;2024-09-30;1;Outras Cotas de FI;ITAU SOBERANO RF SIMPLES LP FICFI;06175696000173;;;;;;24423.55;1700789.03
