CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
47.154.849/0001-83;2025-03-31;1;GR_272AV;R. Aurora, 1250;2025-03-21;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_261AV;R. Aurora, 1250;2025-03-21;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_186AV;R. Aurora, 1250;2025-01-07;27.5;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_133AV;R. Aurora, 1250;2025-01-10;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_115AV;R. Aurora, 1250;2025-03-24;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;GR_113AV;R. Aurora, 1250;2025-02-28;18.2;1;Nenhuma característica relevante;0.000405;0.000225
47.154.849/0001-83;2025-03-31;1;UNIQ_44;Av. Lázaro de Souza Campos, 635 - Franca, SP;2025-02-07;294.3;308;Nenhuma característica relevante;0.011572;0.006439
47.154.849/0001-83;2025-03-31;1;NR2_115;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-02-06;143.4;1;Nenhuma característica relevante;0.005207;0.002897
47.154.849/0001-83;2025-03-31;1;GR_1307C;R. Aurora, 1250 Canoas RS;2025-03-13;121.8;1;Nenhuma característica relevante;0.004304;0.002395
47.154.849/0001-83;2025-03-31;1;NR1_18;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-01-17;131.9;1;Nenhuma característica relevante;0.004513;0.002511
47.154.849/0001-83;2025-03-31;1;NR1_19;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-02-13;149.6;1;Nenhuma característica relevante;0.005288;0.002942
47.154.849/0001-83;2025-03-31;1;NR1_39;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-02-04;149.6;1;Nenhuma característica relevante;0.005288;0.002942
47.154.849/0001-83;2025-03-31;1;NR2_45;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-02-06;149.6;1;Nenhuma característica relevante;0.005288;0.002942
47.154.849/0001-83;2025-03-31;1;NR2_116;Av. Doutor José Machado de Souza, 300 - Aracaju, SE;2025-01-03;143.4;1;Nenhuma característica relevante;0.005589;0.00311
47.154.849/0001-83;2025-03-31;1;Nex15_43;Av Chácara das Nascentes, s/n;2025-03-19;200;7;Nenhuma característica relevante;0.003552;0.001976
47.154.849/0001-83;2025-03-31;1;Nex30_58;Av Chácara das Nascentes, s/n;2025-02-25;200;14;Nenhuma característica relevante;0.003552;0.001976
47.154.849/0001-83;2025-03-31;1;Nex34_96;Av Chácara das Nascentes, s/n;2025-03-19;225;16;Nenhuma característica relevante;0.004628;0.002575
47.154.849/0001-83;2025-03-31;1;Nex14_11;Av Chácara das Nascentes, s/n;2025-02-13;200;27;Nenhuma característica relevante;0.004628;0.002575
47.154.849/0001-83;2025-03-31;1;Nex24_21;Av Chácara das Nascentes, s/n;2025-01-14;200;35;Nenhuma característica relevante;0.004628;0.002575
47.154.849/0001-83;2025-03-31;1;Nex28_25;Av Chácara das Nascentes, s/n;2025-02-12;200;38;Nenhuma característica relevante;0.004628;0.002575
47.154.849/0001-83;2025-03-31;1;Nex30_27;Av Chácara das Nascentes, s/n;2025-02-03;200;40;Nenhuma característica relevante;0.004628;0.002575
47.154.849/0001-83;2025-03-31;1;Bus2_401;Av. Cerejeira, 280;2025-03-20;32.3;1;Nenhuma característica relevante;0.001153;0.000641
47.154.849/0001-83;2025-03-31;1;Bus2_402;Av. Cerejeira, 280;2025-03-20;31.4;1;Nenhuma característica relevante;0.001122;0.000624
47.154.849/0001-83;2025-03-31;1;GOGH2703;R. Bancário Francisco M Sobreira, 51;2025-02-17;192.8;1;Nenhuma característica relevante;0.006552;0.003645
47.154.849/0001-83;2025-03-31;1;GOGH2606;R. Bancário Francisco M Sobreira, 51;2025-01-07;192.8;1;Nenhuma característica relevante;0.006552;0.003645
47.154.849/0001-83;2025-03-31;1;GOGH2608;R. Bancário Francisco M Sobreira, 51;2025-03-21;134.9;1;Nenhuma característica relevante;0.004744;0.00264
48.916.699/0001-60;2025-03-31;1;Condominio Faria Lima Plaza - FLP;Avenida Brigadeiro Faria Lima, 929, Sem Complemento, Pinheiros, Sao Paulo/SP, Brasil, 05426-100;2025-01-07;69342112;191;Direito de Propriedade;0.31196238502451;42.6442433138565
48.978.859/0001-04;2025-09-30;1;CVRD Aguas Claras - Bloco IV;Avenida De Ligacao, 1809, Sem Complemento, , Nova Lima/MG, Brasil, 34006-200;2025-07-09;8932;1;Não possui caracteristicas que destoem dos demais;1;0.035
