CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
50.957.247/0001-79;2025-06-30;1;Estrada José Kalinoski - Contorno, Ponta Grossa - PR, 84060-160, lote 12/R2-1.;14783.5;Matrícula: 80.552;0;0
50.957.247/0001-79;2025-12-31;1;Rua Eduardo Pinto da Rocha, 4031, Ganchinho - Curitiba/PR;12218.8;MAT. 123.587 E 123.588;0;0
51.472.985/0001-99;2025-06-30;1;N/A;;N/A;;
51.710.043/0001-00;2025-06-30;1;Fazenda Santa Helena - Gleba da Mamica e Gleba da Lagoa - Jardinópolis - SP;1.89018e+006;Imóvel rural situado no município de Jardinópolis - SP, com área de 53,0971 hectares, denominado Gleba Mamica, objeto da matrícula 29.799 do Registro de Imóveis da Comarca de Jardinópolis - SP. E Imóvel rural com área de 135,9206 hectares, localizado no município de Jardinópolis - SP, denominado Gleba Lagoa, objeto da matrícula 29.800 do Registro de Imóveis da Comarca de Jardinópolis - SP. Ambos estão cadastrados em área maior no INCRA sob o CCIR nº 950.076.051.837-4;0.259338;0.314333
51.889.479/0001-08;2025-03-31;1;Rua Roberto Francisco Behrens;4632.11;CANOAS Bittencourt - mat. 90.923;0.0198;0.02
51.889.479/0001-08;2025-03-31;1;Avenida Presidente Goulart;30000;SÃO BORJA- mat. 30.094;0.0382;0.0385
51.889.479/0001-08;2025-03-31;1;Km 19, Estrada de Rodagem Porto Alegre - Viamão;13788.6;VIAMÃO mat. 40.176;0.1399;0.14
51.889.479/0001-08;2025-03-31;1;Km 19, Estrada de Rodagem Porto Alegre - Viamão;6740.13;VIAMÃO mat. 81.006;0.0562;0.0567
51.889.479/0001-08;2025-03-31;1;Av. Saturnino de Brito, 601 - São Francisco - Cruz Alta/RS;7008.48;CRUZ ALTA - mat. 51.078;0.1856;0.1871
51.889.479/0001-08;2025-03-31;1;Rua Hirto Luiz Melegari, 465 - Sagrado Coração de Jesus, Lages/SC;9310.7;LAGES - mat. 36.632;0.1911;0.1926
51.889.479/0001-08;2025-03-31;1;Avenida Maestro Roberto Barbosa Ribas, Bairro Juscelino Kubitschek - Santa Maria;29713.4;SANTA MARIA - mat.107.647;0.0753;0.0759
51.889.479/0001-08;2025-03-31;1;Av. Francisco Chagas, 1540 - São Gabriel - RS;16348;SÃO GABRIEL - Mat.4.42;0.0273;0.0275
51.889.479/0001-08;2025-12-31;1;Cidade de Novo Hamburgo;222210;Matrícula 52.917;1;0.0978
52.356.865/0001-99;2025-12-31;1;Av. Do Estado Dalmo Vieira - Pioneiros, Balneário Camboríu/ SC.;1988.91;MATRICULA 23501;0.5569;0
