CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
13.320.290/0001-00;2025-06-30;1;MAT 7229 - FAZENDA SERTAO VELHO;Zona Rural, S/n, Sem Complemento, Itaguaçu Da Bahia, Itaguaçu Da Bahia/BA, Brasil, 47440-000;3547.32;1;Direito de Propriedade;0.03171551419872;Renda
13.598.226/0001-88;2025-12-31;1;ID 102;RUA ARIZONA, 28 - SÃO PAULO - SP;110;1;- ID 102 MATRÍCULA 78.966;0.0052904167650332;Venda
13.598.226/0001-88;2025-12-31;1;ID 105;RUA CAIUBI, 742;120;1;- ID 105 MATRÍCULA 134.627;0.00373378297374484;Venda
13.598.226/0001-88;2025-12-31;1;ID 231;RUA CAIUBI, 750;120;1;- ID 231 MATRÍCULA 112.931;0.00583842180996107;Venda
13.598.226/0001-88;2025-12-31;1;ID 109;RUA SANTA RITA, 721 - SÃO PAULO - SP;900;1;- ID 109 MATRÍCULA 136.264;0.0223833002193182;Venda
13.598.226/0001-88;2025-12-31;1;ID 114;RUA ZACARIAS DE GOES, 519;100;1;- ID 114 MATRÍCULA 130.129;0.00320705866482221;Venda
13.598.226/0001-88;2025-12-31;1;ID 14;RUA NIAGARA, 76;175;1;- ID 14 MATRÍCULA 136.773;0.00576805161868592;Venda
13.598.226/0001-88;2025-12-31;1;ID 186;FAZENDA DENOMINADA LOPES/SERRADO - PIRASSUNUNGA - SP;169400.0053;1;- ID 186 MATRÍCULA 45.016;0.0194740549628568;Venda
13.598.226/0001-88;2025-12-31;1;ID 19;AV PRESIDENTE WILSON, 1987;2540.2;1;- ID 19 MATRÍCULA 52.126;0.023785186438734;Venda
13.598.226/0001-88;2025-12-31;1;ID 186;AV PRESIDENTE WILSON, 1871;3154.88;1;- ID 18 MATRÍCULA 52.126;0.0288156196244252;Venda
13.598.226/0001-88;2025-12-31;1;ID 215;RUA ARIZONA, 421;5.69;1;- ID 215 MATRÍCULA 277.878;0.00384638469567049;Venda
13.598.226/0001-88;2025-12-31;1;ID 22;AV REI ALBERTO, LOTE 30 DA QUADRA R - SÃO PAULO;300;1;- ID 22 MATRÍCULA 58.730;0.00771137212364676;Venda
13.598.226/0001-88;2025-12-31;1;ID 222;RUA GODOI COLAÇO, 618 - SÃO PAULO - SP;62;1;- ID 222 MATRÍCULA 179.418;0.00424823355399621;Venda
13.598.226/0001-88;2025-12-31;1;ID 229;AV ÁGUA ESPRAIADA, PARTE DA QUADRA 108 - SÃO PAULO - SP;154;1;- ID 229 MATRÍCULA 135.071;0.00281677933484252;Venda
13.598.226/0001-88;2025-12-31;1;ID 232;RUA SANTA RITA, 739;60;1;- ID 232 MATRÍCULA 175.477;0.00742620329881655;Venda
13.598.226/0001-88;2025-12-31;1;ID 249;RUA ANTÔNIO DE GODÓI, 122;22.75;1;- ID 249 MATRÍCULA 98.033;0.0007;Venda
13.598.226/0001-88;2025-12-31;1;ID 334;RUA ZACARIAS DE GOES, 502;1350;1;- ID 334 MATRÍCULA 112.932;0.0264182439294201;Venda
13.598.226/0001-88;2025-12-31;1;ID 341;RUA MAURO, 522 - SÃO PAULO - SP;3852;1;- ID 341 MATRÍCULA 23.408;0.0682783583000092;Venda
13.598.226/0001-88;2025-12-31;1;ID 350;AV. JOÃO PESSOA 122-124 SANTOS;1895;1;- ID 350 MATRÍCULA 18.480;0.04048287908049;Venda
13.598.226/0001-88;2025-12-31;1;ID 353;AV. PE. L. LUNDERS 2065;6000;1;- ID 353 MATRÍCULA 6.758;0.0417690113116756;Venda
13.598.226/0001-88;2025-12-31;1;ID 355;AV. PORTUGAL, 1074;200;1;- ID 355 MATRÍCULA 55.824;0.0095214277911006;Venda
13.598.226/0001-88;2025-12-31;1;ID 365;RUA BENJAMIM CONSTANT, 1214 - CAMPINAS - SP;302.08;1;- ID 365 MATRÍCULA 46.930;0.00193969808666978;Venda
13.598.226/0001-88;2025-12-31;1;ID 366;RUA BENJAMIM CONSTANT, 1214 - CAMPINAS - SP;302.08;4;- ID 366 MATRÍCULA 46.641 / 46.642 / 46.643 / 46.644;0.00368028809159531;Venda
13.598.226/0001-88;2025-12-31;1;ID 367;RUA WENCESLAU BRAZ, 167, 169 E 173 - SÃO PAULO - SP;333.6;1;- ID 367 MATRÍCULA 101.198;0.0557688891282947;Venda
13.598.226/0001-88;2025-12-31;1;ID 369;PONTA DA ALDEIA - PERUÍBE - SP;7770;1;- ID 369 MATRÍCULA 117.048;0.0150476771644834;Venda
13.598.226/0001-88;2025-12-31;1;ID 370;RA IRMÃOS BASILE, 390 - ANGATUBA - SP;320;1;- ID 370 MATRÍCULA 111;0.00175677556511893;Venda
13.598.226/0001-88;2025-12-31;1;ID 372;RUA ABUASSALI ABUJAMRA, 11 - OURINHOS - SP;403;1;- ID 372 MATRÍCULA 1.086;0.00248949330593777;Venda
13.598.226/0001-88;2025-12-31;1;ID 373;AV 13, Nº109 - GUAÍRA - SP;489;2;- ID 373 MATRÍCULA 18.748;0.00493916499552668;Venda
13.598.226/0001-88;2025-12-31;1;ID 40;PERÍMETRO 14-11-12-13-14 NO 30º SUBDISTRITO IBIRAPUERA - SÃO PAULO - SP;147.54;1;- ID 40 MATRÍCULA 125.494;0.00557111689799653;Venda
13.598.226/0001-88;2025-12-31;1;ID 45;RUA BERNARDINO DOS CAMPOS S/N (PERÍMETRO;532.78;1;- ID 45 MATRÍCULA 136.654;0.0179839557704483;Venda
13.598.226/0001-88;2025-12-31;1;ID 66;PASSAGEM PARTICULAR UM, NO 30º - IBIRAPUERA - SÃO PAULO - SP;190.15;1;- ID 66 MATRÍCULA 168.772;0.00268998795067192;Venda
13.598.226/0001-88;2025-12-31;1;ID 69;RUA GODOI COLAÇO, 620 - SÃO PAULO - SP;207.75;1;- ID 69 MATRÍCULA 77.660;0.00703154468292151;Venda
13.598.226/0001-88;2025-12-31;1;ID 216;RUA ARIZONA, PERÍMETRO 34-A-33-A-32-35-34-A - SÃO PAULO;18.38;1;- ID 216 MATRÍCULA 73.681;0.00383925341492338;Venda
13.598.226/0001-88;2025-12-31;1;ID 41;RUA GODOI COLAÇO, 55 - SÃO PAULO - SP;144.46;1;- ID 41 MATRÍCULA 79.928;0.0048736339656073;Venda
13.598.226/0001-88;2025-12-31;1;ID 44;RUA BERNARDINO DOS CAMPOS, 1.232 - SÃO PAULO - SP;144;1;- ID 44 MATRÍCULA 121.816;0.00358236551665363;Venda
13.598.226/0001-88;2025-12-31;1;ID 67;RUA GABRIEL DE LARA, 497 - SÃO PAULO - SP;188.37;1;- ID 67 MATRÍCULA 135.507;0.00685666561404582;Venda
13.598.226/0001-88;2025-12-31;1;ID 91;RUA MICHIGAN, 117 - SÃO PAULO - SP;149.1;1;- ID 91 MATRÍCULA 168.770;0.00495426426056314;Venda
13.598.226/0001-88;2025-12-31;1;ID 356;RUA ENG CÂNDIDO GOMIDE Nº 196;26517.5;1;- ID 356 MATRÍCULA 32.048;0.170022210279792;Venda
13.598.226/0001-88;2025-12-31;1;ID 361;RUA JOÃO ALVES, 304;637;1;- ID 361 MATRÍCULA 12.559;0.00187805512375955;Venda
13.598.226/0001-88;2025-12-31;1;ID 362;AVENIDA RODRIGUES ALVES Nº 7-48;1065.95;1;- ID 362 CERTIDÃO 284200;0.0382799612016373;Venda
13.598.226/0001-88;2025-12-31;1;ID 364;RUA AMAZONAS - AVARÉ - SP;4700;1;- ID 364 MATRÍCULA 23.429;0.0226496749753989;Venda
14.410.722/0001-29;2025-12-31;1;HORTFRU;Rua Professor Álvaro Rodrigues, nº 355, Loja A / Botafogo / RJ;1168;1;Nenhuma característica relevante;0.017591086895379;Renda
14.788.492/0001-36;2025-12-31;1;Condominio Filadelfo;Rua Professor Filadelfo Azevedo, 665, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04508-011;362.72;2;Não possui características que destoem dos demais;0.00941378928646;Venda
17.161.979/0001-82;2025-06-30;2;Ed. Concórdia;Alameda Oscar Niemeyer, nº 132, Vale Sereno, Nova Lima - MG;24397;70;Salão, Lj 2, salas 101 201 a 502, 801 a 1102, 49,44% da sl 1501 29,14% da sl 1502, 65,73% da sl 1602, salas 1701 a 3102. Estacion e dep;0.339994;Renda
17.282.011/0001-04;2025-12-31;1;Ed JK Financial Center;Avenida Presidente Juscelino Kubitschek, 510, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04543-000;1945.48;4;Direito de propriedade.;0.077473;Renda
17.282.011/0001-04;2025-12-31;1;Ed Juscelino Plaza;Rua Doutor Eduardo De Souza Aranha, 387, Sem Complemento, Vila Nova Conceição, São Paulo/SP, Brasil, 04543-121;1121.72;4;Direito de propriedade.;0.022403;Renda
17.282.011/0001-04;2025-12-31;1;Ed Millennium;Avenida Chedid Jafet, 222, Bloco D, Vila Olímpia, São Paulo/SP, Brasil, 04551-065;2280.63;3;Direito de propriedade.;0.047194;Renda
17.282.011/0001-04;2025-12-31;1;Edificio Atrium V;Rua Fidencio Ramos, 195, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04551-010;6120.87;48;Direito de propriedade.;0.093081;Renda
17.282.011/0001-04;2025-12-31;1;Ed Ronaldo Sampaio;Avenida Engenheiro Luiz Carlos Berrini, 1645, Sem Complemento, Cidade Monções, São Paulo/SP, Brasil, 04571-011;5080;11;Direito de propriedade.;0.079434;Renda
17.282.011/0001-04;2025-12-31;1;Edificio Capital Plaza;Avenida Pedroso De Morais, 1553, 5º Andar, Pinheiros, São Paulo/SP, Brasil, 05419-001;1517.8;8;Direito de propriedade.;0.02698;Renda
17.282.011/0001-04;2025-12-31;1;Edificio Alice Maria;Avenida Engenheiro Luiz Carlos Berrini, 1645, Sem Complemento, Cidade Monções, São Paulo/SP, Brasil, 04571-011;3219.4;10;Direito de propriedade.;0.04165;Renda
17.554.274/0001-25;2025-12-31;3;TERRENOS MIDWAY MALL;Av. Nevaldo Rocha, 3775 - Tirol, Natal - RN, 59015-450;67796;300;Área total contruida 67.796 m²;0;Renda
17.655.115/0001-17;2025-12-31;1;CONDOMÍNIO VISTA FARIA LIMA;Rua Professor Atílio Innocenti, n° 165;16474.68;1;matrícula n° 181.109;0;Renda
18.259.637/0001-62;2025-03-31;1;Condominio Edificio Summit Pinheiros;Rua Eugenio De Medeiros, 288, Sem Complemento, Pinheiros, São Paulo/SP, Brasil, 05425-000;1774.51;23;Direito de propriedade;0.41304757156934;Renda
18.259.637/0001-62;2025-03-31;1;Centro Empresarial Mario Garnero;Avenida Brigadeiro Faria Lima, 1485, 8º Andar - Torre Sul, Pinheiros, São Paulo/SP, Brasil, 05426-100;1251.44;5;Direito de propriedade;0.35103359274276;Renda
18.950.957/0001-64;2025-03-31;1;URUGUAIA;Av. Ministro Assis Brasil, 1053 - Joquei Clube, Uruguaiana - RS;22500;1;Nenhuma característica relevante;0.002727;Renda
19.267.845/0001-76;2025-06-30;1;NEBRASKA 2;RUA NEBRASLA, 667;627.28;1;MATRICULA - 286.114;0;Renda
19.419.994/0001-03;2025-12-31;1;MATRÍCULA 100.747;Rua Pequetita 170, São Paulo/SP;400;1;;0.0008;Renda
22.340.978/0001-35;2025-12-31;1;MT 78850;Avenida Flamboyant, 225,  - Guarujá;1624.74;1;lote nº 06, Quadra 01, Sítio Taguaíba;0.0799;Venda
24.853.044/0001-22;2025-12-31;1;CAJAMAR;Rodovia Castello Branco, km 57 - São Roque, SP;60589;1;CAJAMAR - MATRÍCULA Nº 91.752;0;Renda
26.452.053/0001-37;2025-06-30;1;IMOVEL SÃO JOSÉ CAMPOS;RUA CORONEL JOSÉ MONTEIRO, 287- CENTRO- SÃO JOSÉ DOS CAMPOS - SP;1218;1;NA;0.0091;Renda
26.452.053/0001-37;2025-09-30;1;IMOVEL SÃO JOSÉ CAMPOS;RUA CORONEL JOSÉ MONTEIRO, 287- CENTRO- SÃO JOSÉ DOS CAMPOS - SP;1218;1;NA;0.0091;Renda
26.452.053/0001-37;2025-12-31;1;IMOVEL SÃO JOSÉ CAMPOS;RUA CORONEL JOSÉ MONTEIRO, 287- CENTRO- SÃO JOSÉ DOS CAMPOS - SP;1218;1;NA;0.0091;Renda
26.502.794/0001-85;2025-12-31;1;110307_26502 (Galpão Hortolândia II);Rod. Jornalista F. A. Proença, Km 09;15349.293;1;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.502.794/0001-85;2025-12-31;1;12769_26502 (Galpão Extrema I);Estrada M. Vargem João Pinto;37600.235;1;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.502.794/0001-85;2025-12-31;1;1702_26502 (Guarulhos);Av. Francisco Xavier, 62;111197.53;1;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.502.794/0001-85;2025-12-31;1;24929_26502 (Galpão Extrema II);Estrada M. Luiz Lopes Neto;77106.29;13;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.502.794/0001-85;2025-12-31;1;88913_26502 (Galpão Hortolândia I);Rod. Jornalista F. A. Proença, Km 09;15349.293;1;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.502.794/0001-85;2025-12-31;1;95140_26502 (Galpão WT RBR Log);Rod. P. Tancredo Neves, Km 45;33615.901;2;https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=1067291&cvm=true;0;Renda
26.681.370/0001-25;2025-09-30;1;Ed Faria Lima 1355;Avenida Brigadeiro Faria Lima, 1355, Sem Complemento, Jardim Paulistano, São Paulo/SP, Brasil, 01452-002;50000;2;Não possui caracteristicas que destoem dos demais;0.02246764358173;Renda
27.538.477/0001-81;2025-06-30;1;126594_27538;Rua Dr. João Francisco Centola Nóbrega, 491 - Ribeirão Preto - SP;56.4;1;Matrícula  126594;0;Renda
28.267.696/0001-36;2025-12-31;1;Imovel Andorinha - Sao Paulo 2;Rua Professor Luciano Prata, 204, Sem Complemento, Vila Baruel, São Paulo/SP, Brasil, 02510-020;1500;1;Não possui;0.01095348276041;Renda
28.548.288/0001-52;2025-03-31;1;DRS_ARACAJU - GRUPO MATHEUS;Av. João Rodrigues, 592 - Industrial - Aracaju/SE;31524;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_ANANINDEUA- GRUPO MATHEUS;Av. Cláudio Saunders, Coqueiro, Ananindeua/PA;7601.92;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_CARUARU - GRUPO MATHEUS;Av. Portugal - Bairro Universitário - Caruaru/PE;32604;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_GUARABIRA - GRUPO MATHEUS;Rua Otacílio Lira Cabral, 1300 - Guarabira/PB;56898.85;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_LEAO DOURADO - GRUPO MATHE;Av. Leão Dourado - Bairro Kennedy - Caruaru/PE;32391.18;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_MARANHAO- GRUPO MATHEUS;BR-135, km-190, s/n, São Mateus do Maranhão/MA;3734;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_MARITUBA- GRUPO MATHEUS;Rodovia BR-316, KM 25, S/N, Bairro Parque Verde, Marituba -PA;10291.95;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_PATOS - GRUPO MATHEUS;Rua Lima Campos, 156 - São Sebastião - Patos/PB;36000;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_RUSSAS- GRUPO MATHEUS;356, 208 - Vila Ramalho, Russas - CE, 62900-000;8149.08;1;n/a;0;Renda
28.548.288/0001-52;2025-06-30;1;ASSAÍ CALDAS NOVAS - GO;Av. Santo Amaro, 1.697- Solar de Caldas,Caldas Novas/GO;30375.15;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA VIERA DE MORAES;R. Vieira de Morais, 1597 - Campo Belo;1629;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA DOMINGO DE MORAES;R. Domingos de Morais, 316 - Vila Mariana, São Paulo;3313;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA IBIRAREMA;R. Ibirarema, 100 -Bosque da Saúde, São Paulo;1935;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA CURSINO;Av. do Cursino, 2568 - Bosque da Saúde, São Paulo;2810;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA NS SABARA;Av. Nossa Sra. do Sabará, 3015;2334;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA DIADEMA PIRAPORINHA;Praça Bom Jesus de Piraporinha, 435;9286;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;COOPERATIVA DE CONSUMO DIADEMA;Av. Fábio Eduardo Ramos Esquivel, 290;1457;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;GPA SERAFIM ORLANDI;R. Prof. Serafim Orlandi, 299 - Vila Mariana, São Paulo;13260;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;ASSAI DIADEMA PIRAPORINHA;Av. Piraporinha, 1144 - Vila Nogueira;19620.71;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;ASSAI TEOTONIO VILELA;Av. Sen. Teotônio Vilela, 2926;107457;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;EXTRA ATIBAIA;Av. Prof. Carlos Alberto de Carvalho Pinto, 210;8025;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;ASSAI COTIA;R. Prof. José Barreto, 1635 - Vila Santo Antonio do Portao;19518;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-06-30;1;DELBONI RICARDO JAFET;R. Rodrigo Vieira, 67 - Jardim Vila Mariana, São Paulo;6290;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-09-30;1;ASSAÍ APARECIDA DE GOIÂNIA;BR-153, s/n - Jardim Monte Serrat;21920.57;1;n/a;0;Renda
28.548.288/0001-52;2025-09-30;1;GPA GRANJA VIANA;Av. São Camilo, 700 - Granja Viana, Cotia;4492;1;n/a;0;Renda
28.548.288/0001-52;2025-09-30;1;GPA SANTANA - SÃO PAULO;Rua Augusto Tolle, 470 - Santana;2877.15;1;n/a;0;Renda
28.548.288/0001-52;2025-09-30;1;GPA TITO;R. Tito, 639 - 705 - Vila Romana, São Paulo;3643.72;1;n/a;0;Renda
28.548.288/0001-52;2025-09-30;1;MERCADO LIVRE - ARAUCÁRIA;Av. Cézar Hasselmann, 499-497 - Fazenda Velha, Araucária - PR;149452.44;1;n/a;0;Renda
28.548.288/0001-52;2025-12-31;2;ALCÂNTARA - CEF;Dr. Alfredo Backer, 5;1688.88;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ANHANGUERA;R. Luiz Otávio, 1313 - Parque Taquara;22787.79;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ÂNIMA CANOAS;Rua Santos Dumont, 88;11664;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ÂNIMA POA;Rua Orfanotrófio, 555, Alto - Teresópolis;29592.24;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ASSAÍ SÃO BERNADO;Av. Piraporinha, 680,Planalto, São Bernardo do Campo;43950;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - ARAPIRACA;AL-220, 359 - Itapoá;34842.89;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - CAMARAGIBE;Av. Dr. Belmínio Correia, 4817;40216;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - DUQUE DE CAXIAS;Rod. Washington Luiz, 121;31600.21;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - MOSSORÓ;Av. João da Escóssia, 1724;87176;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - RESENDE;Av. Francisco Fortes Filho,;47776.57;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - SOBRAL;Av. Sen. Fernandes Távora, 605;33460;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ATACADÃO - TANGARÁ DA SERRA;Av. Domingos Parente de Sá Barreto, 303;51443.56;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;BARRA DA TIJUCA - CEF;Av. das Américas, 3959;1174.08;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;CÂNDIDO BENÍCIO - LOJA A;R. Cândido Benício, 1671;4920;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;CÂNDIDO BENÍCIO - LOJA B;MAT. 126.225;4920;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;CIDADELA - CEF;Av. Antônio Carlos Magalhães,;1219.44;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;CRUZEIRO DO SUL - GUARULHOS/SP;Av. Salgado Filho, 100 - Centro;3390.7;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;ESCOLA ELEVA - RJ;Av. José Silva de Azevedo Neto, 309 - Barra da Tijuca;17961.67;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;FONSECA - CEF;Alameda São Boaventura, 904;935.55;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;FRANCISO MATARAZO - CEF;Av. Francisco Matarazzo, 342;674.4;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;GRANDE CENTER;R. Oswaldo Cruz, 415;2572.58;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;JUNDIAÍ - CEF;Rua Rangel Pestana, 278;1150;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;LINK - CORPORATE GARDEN;Av. Brigadeiro Luís Antônio, 5083;2220.78;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;MATEUS - CAMETÁ/PA;Rodovia BR 422, KM 01, Cametá - PA;28000;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;MATEUS - CARPINA/PE;Av. Conselheiro João Alfredo, 262;18242.09;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;MATEUS - ESTRADA DO ARROZ IMPERATRIZ/MA;Av. Newton Bello, 22;29776.6;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;MATEUS - SALVADOR IGUATEMI/BA;Av. Antônio Carlos Magalhães, 3650;70050;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;MEDICAL CENTER - EINSTEIN;Marginal Pinheiros, 14.500;9185.27;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;PENHA - CEF;Av. Brás de Pina, 02;1134.67;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;RIACHUELO - CEF;R. Riachuelo, 61;1150;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;RIO SUL - CEF;Rua Lauro Müller, 116;1170.07;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;RUA DAS FLORES - CEF;Praça Gen. Osório, 319;1789.05;1;Direito de propriedade;0;Renda
28.548.288/0001-52;2025-12-31;2;SÃO BENTO - CEF;R. São Bento, 397;1539.8;1;Direito de propriedade;0;Renda
